image_path,class_name
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-03-06_22-12-29to2019-03-06_22-12-37_1-0020_jpg.rf.e87cf9dfc173132d6275ea6902b1125d.jpg,crab
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-03-06_22-12-29to2019-03-06_22-12-37_1-0020_jpg.rf.e87cf9dfc173132d6275ea6902b1125d.jpg,crab
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77.jpg,crab
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77.jpg,crab
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77.jpg,crab
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77.jpg,starfish
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0293_jpg.rf.667ff524f370509055adac8a88299d4a.jpg,fish
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0293_jpg.rf.667ff524f370509055adac8a88299d4a.jpg,crab
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0293_jpg.rf.667ff524f370509055adac8a88299d4a.jpg,crab
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-03-20_20-08-39to2019-03-20_20-08-48_1-0005_jpg.rf.9d47460df25aa846f6a023532abea3df.jpg,starfish
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-03-20_20-08-39to2019-03-20_20-08-48_1-0005_jpg.rf.9d47460df25aa846f6a023532abea3df.jpg,starfish
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-03-06_22-16-56to2019-03-06_22-17-10_1-0027_jpg.rf.2d168419c657a77b4dde6f063e37a8d6.jpg,crab
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-03-06_22-16-56to2019-03-06_22-17-10_1-0027_jpg.rf.2d168419c657a77b4dde6f063e37a8d6.jpg,crab
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-03-06_22-16-56to2019-03-06_22-17-10_1-0027_jpg.rf.2d168419c657a77b4dde6f063e37a8d6.jpg,crab
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-02-22_23-28-21to2019-02-22_23-28-34_1-0128_jpg.rf.31303c55fa380a32554a2911bacad5a8.jpg,starfish
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-02-22_23-28-21to2019-02-22_23-28-34_1-0128_jpg.rf.31303c55fa380a32554a2911bacad5a8.jpg,starfish
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-02-22_23-28-21to2019-02-22_23-28-34_1-0128_jpg.rf.31303c55fa380a32554a2911bacad5a8.jpg,fish
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0114_jpg.rf.45451c329123583f40463a71daa6f459.jpg,crab
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0114_jpg.rf.45451c329123583f40463a71daa6f459.jpg,crab
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0114_jpg.rf.45451c329123583f40463a71daa6f459.jpg,starfish
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0114_jpg.rf.45451c329123583f40463a71daa6f459.jpg,crab
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0043_jpg.rf.d0342ace7481f95ab22949ec30db72bb.jpg,crab
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0043_jpg.rf.d0342ace7481f95ab22949ec30db72bb.jpg,crab
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0043_jpg.rf.d0342ace7481f95ab22949ec30db72bb.jpg,crab
/workspace/Marine/DU-MobileYOLO-main/brackish_dataset/test/images/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0043_jpg.rf.d0342ace7481f95ab22949ec30db72bb.jpg,crab
